,rank,artistsong,year,artist,song_title
100,21,"bingcrosby/ontheatchison,topeka&thesantafe.html",1945,Bing Crosby,"On the Atchison, Topeka & the Santa Fe"
101,22,spikejones/cocktailsfortwo.html,1945,Spike Jones,Cocktails For Two
102,23,"billieholiday/lovermanoh,wherecanyoube.html",1945,Billie Holiday,"Lover Man (Oh, Where Can You Be?)"
103,24,bingcrosby/afriendofyours.html,1945,Bing Crosby,A Friend of Yours
104,25,franksinatra/afriendofyours.html,1945,Frank Sinatra,A Friend of Yours
105,26,woodyherman/laura.html,1945,Woody Herman,Laura
106,27,dickhaymes/itmightaswellbespring.html,1945,Dick Haymes,It Might as Well Be Spring
107,28,helenforrest&dickhaymes/illbuythatdream.html,1945,Helen Forrest & Dick Haymes,I’ll Buy That Dream
108,29,perrycomo/ifilovedyou.html,1945,Perry Como,If I Loved You
109,30,tommydorsey/opusone.html,1945,Tommy Dorsey,Opus One
110,31,nelsongoncalves/mariabethania.html,1945,Nelson Goncalves,Maria Bethania
111,32,"bingcrosby/amor,amor.html",1945,Bing Crosby,"Amor, Amor"
112,33,louisprima/angelina.html,1945,Louis Prima,Angelina
113,34,bennygoodman/gottabethisorthat.html,1945,Benny Goodman,Gotta Be This Or That
114,35,bigmaceomerriweather/chicagobreakdown.html,1945,Big Maceo Merriweather,Chicago Breakdown
115,36,franksinatra/tryalittletenderness.html,1945,Frank Sinatra,Try a Little Tenderness
116,37,dickhaymes/loveletters.html,1945,Dick Haymes,Love Letters
117,38,dizzygillespie/groovinhigh.html,1945,Dizzy Gillespie,Groovin’ High
118,39,perrycomo/imgonnalovethatgal.html,1945,Perry Como,I’m Gonna Love That Gal
119,40,bingcrosby/youbelongtomyheart.html,1945,Bing Crosby,You Belong To My Heart
120,41,franksinatra/dreamwhenyourefeelingblue.html,1945,Frank Sinatra,Dream (When You’re Feeling Blue)
121,42,louisprima/bellbottomtrousers.html,1945,Louis Prima,Bell Bottom Trousers
122,43,dickhaymes/laura.html,1945,Dick Haymes,Laura
123,44,luckymillinder/whothrewthewhiskeyinthewell.html,1945,Lucky Millinder,Who Threw the Whiskey in the Well
124,45,dorivalcaymmi/pegueiumitanonorte.html,1945,Dorival Caymmi,Peguei Um Ita no Norte
125,46,stankenton/tampico.html,1945,Stan Kenton,Tampico
126,47,franksinatra/saturdaynightistheloneliestnight.html,1945,Frank Sinatra,Saturday Night (Is the Loneliest Night)
127,48,russmorgan/theregoesthatsongagain.html,1945,Russ Morgan,There Goes That Song Again
128,49,charlieparker/billiesbounce.html,1945,Charlie Parker,Billie’s Bounce
129,50,dickthomas/siouxcitysue.html,1945,Dick Thomas,Sioux City Sue
130,51,frankiecarle/alittleonthelonelyside.html,1945,Frankie Carle,A Little On The Lonely Side
131,52,texritter/youtwotimedmeoncetoooften.html,1945,Tex Ritter,You Two Timed Me Once Too Often
132,53,texritter/youwillhavetopay.html,1945,Tex Ritter,You Will Have to Pay
133,54,jostafford/symphony.html,1945,Jo Stafford,Symphony
134,55,tonypastor&hisorchestra/bellbottomtrousers.html,1945,Tony Pastor & his Orchestra,Bell Bottom Trousers
135,56,peggylee/waitinforthetraintocomein.html,1945,Peggy Lee,Waitin’ for the Train to Come In
136,57,joeliggins/thehoneydripperparts1&2.html,1945,Joe Liggins,The Honeydripper (Parts 1 & 2)
137,58,anjosdoinferno/bolinhadepapel.html,1945,Anjos do Inferno,Bolinha de Papel
138,59,jostafford/thatsforme.html,1945,Jo Stafford,That’s for Me
139,60,franksinatra/idreamofyou.html,1945,Frank Sinatra,I Dream of You
140,61,themillsbrothers/iwish.html,1945,The Mills Brothers,I Wish
141,62,dickhaymes/themoreiseeyou.html,1945,Dick Haymes,The More I See You
142,63,spikejones/holidayforstrings.html,1945,Spike Jones,Holiday for strings
143,64,eddieheywood/beginthebeguine.html,1945,Eddie Heywood,Begin the Beguine
144,65,bingcrosby&theandrewssisters/alongthenavajotrail.html,1945,Bing Crosby & The Andrews Sisters,Along the Navajo Trail
145,66,colemanhawkins/rifftide.html,1945,Coleman Hawkins,Rifftide
146,67,cyromonteiro/boogie-woogienafavela.html,1945,Cyro Monteiro,Boogie-Woogie na Favela
147,68,franksinatra/youllneverwalkalone.html,1945,Frank Sinatra,You’ll Never Walk Alone
148,69,philmoorefour/mydreamsaregettingbetterallthetime.html,1945,Phil Moore Four,My Dreams Are Getting Better All the Time
149,70,guylombardo/bellbottomtrousers.html,1945,Guy Lombardo,Bell Bottom Trousers
150,71,dickhaymes/tilltheendoftime.html,1945,Dick Haymes,Till The End of Time
151,72,perrycomo/digyoulatera-hubbahubbahubba.html,1945,Perry Como,Dig You Later (A-hubba Hubba Hubba)
152,73,harryjames/illbuythatdream.html,1945,Harry James,I’ll Buy That Dream
153,74,carmencavallaro/chopinspolonaise.html,1945,Carmen Cavallaro,Chopin’s Polonaise
154,75,woodyherman/caledonia.html,1945,Woody Herman,Caledonia
155,76,halmcintyre&hisorchestra/sentimentaljourney.html,1945,Hal McIntyre & his Orchestra,Sentimental Journey
156,77,johnnylong/mydreamsaregettingbetterallthetime.html,1945,Johnny Long,My Dreams Are Getting Better All the Time
157,78,bettygrable/icantbegintotellyou.html,1945,Betty Grable,I Can’t Begin to Tell You
158,79,gilbertoalves/precealua.html,1945,Gilberto Alves,Prece a Lua
159,80,dizzygillespie/saltpeanuts.html,1945,Dizzy Gillespie,Salt Peanuts
160,1,perrycomo/prisoneroflove.html,1946,Perry Como,Prisoner Of Love
161,2,eddyhoward/toeachhisown.html,1946,Eddy Howard,To Each His Own
162,3,theinkspots/thegypsy.html,1946,The Ink Spots,The Gypsy
163,4,franksinatra/fiveminutesmore.html,1946,Frank Sinatra,Five Minutes More
164,5,frankiecarle/rumorsareflying.html,1946,Frankie Carle,Rumors Are Flying
165,6,frankiecarle/ohwhatitseemedtobe.html,1946,Frankie Carle,Oh! What It Seemed To Be
166,7,johnnymercer/personality.html,1946,Johnny Mercer,Personality
167,8,"bingcrosbyandtheandrewssisters/southamerica,takeitaway.html",1946,Bing Crosby and The Andrews Sisters,"South America, Take It Away"
168,9,dinahshore/thegypsy.html,1946,Dinah Shore,The Gypsy
169,10,franksinatra/ohwhatitseemedtobe.html,1946,Frank Sinatra,Oh! What It Seemed To Be
170,11,perrycomo/surrender.html,1946,Perry Como,Surrender
